순번,상호명,수거종류,수거방법,수거장소(주소),장소구분,수거비용,위도,경도
11857,이스트시티 2단지,중소폐가전,수거함 설치,대전 동구 동대전로46번길 120 ,공동주택(아파트 등),무상,36.3245607,127.4409107
11858,인동참좋은아파트,중소폐가전,수거함 설치,대전 동구 대전로 706 ,공동주택(아파트 등),무상,36.2729853,127.471052
11859,인동현대아파트,중소폐가전,수거함 설치,대전 동구 대전로 664 ,공동주택(아파트 등),무상,36.2729853,127.471052
11862,천동휴먼시아2단지,중소폐가전,수거함 설치,대전 동구 대전로542번길 78-1 ,공동주택(아파트 등),무상,36.316169,127.44632
11863,청룡아파트,중소폐가전,수거함 설치,대전 동구 홍도동 56-1 ,공동주택(아파트 등),무상,36.34807,127.4257871
11864,초록마을5단지아파트,중소폐가전,수거함 설치,대전 서구 유등로17번길 109 ,공동주택(아파트 등),무상,36.2993983,127.3745453
11865,파밀리에아파트,중소폐가전,수거함 설치,대전 동구 동산초교로 46 ,공동주택(아파트 등),무상,36.3454899,127.4277831
11866,한마루럭키아파트,중소폐가전,수거함 설치,대전 서구 둔산북로 160 ,공동주택(아파트 등),무상,36.3557854,127.3985938
11867,한마루삼성아파트,중소폐가전,수거함 설치,대전 서구 둔산북로 160 ,공동주택(아파트 등),무상,36.3557854,127.3985938
11869,효동현대아파트,중소폐가전,수거함 설치,대전 동구 대전로 646 ,공동주택(아파트 등),무상,36.2729853,127.471052
1969,노은3지구 새미래숲아파트,중소폐가전,수거함 설치,대전광역시 유성구 지족로190번길 16(지족동) ,공동주택(아파트 등),무상,36.38119237,127.302904369
1970,노은3지구 에코힐 7단지,중소폐가전,수거함 설치,대전광역시 유성구 지족로190번길 39(지족동) ,공동주택(아파트 등),무상,36.382134596,127.304909462
1971,노은3지구 해랑숲마을 5단지,중소폐가전,수거함 설치,대전광역시 유성구 지족로 240(지족동) ,공동주택(아파트 등),무상,36.385109156,127.304282557
1984,대덕테크노밸리 1단지,중소폐가전,수거함 설치,대전광역시 유성구 배울2로 6(관평동) ,공동주택(아파트 등),무상,36.421928171,127.382788101
1985,대덕테크노밸리 3단지,중소폐가전,수거함 설치,대전광역시 유성구 배울2로 24(관평동) ,공동주택(아파트 등),무상,36.420302392,127.385806833
2002,대전센트럴자이1단지아파트,중소폐가전,수거함 설치,대전광역시 중구 충무로 107번길 100 ,공동주택(아파트 등),무상,36.322849505,127.426718033
2027,도안10단지 휴먼시아10단지,중소폐가전,수거함 설치,대전광역시 유성구 원신흥로 37(원신흥동) ,공동주택(아파트 등),무상,36.33986615,127.339451317
2028,도안1단지 LH 도안마을1단지,중소폐가전,수거함 설치,대전광역시 유성구 도안대로 560(봉명동) ,공동주택(아파트 등),무상,36.351445442,127.343562013
2029,도안LH행복2단지,중소폐가전,수거함 설치,대전광역시 유성구 원신흥남로27번길 68(원신흥동) ,공동주택(아파트 등),무상,36.333723342,127.335651847
2059,레자미멀티홈,중소폐가전,수거함 설치,"대전광역시 유성구 온천북로 7, 2층(봉명동, 레자미 멀티홈) ",공동주택(아파트 등),무상,36.357469585,127.344048737
2090,반석 더 샵,중소폐가전,수거함 설치,대전광역시 유성구 반석로 80(반석동) ,공동주택(아파트 등),무상,36.390533237,127.305306277
2100,법동주공2단지아파트,중소폐가전,수거함 설치,대전광역시 대덕구 계족로663번길29 ,공동주택(아파트 등),무상,36.369612702,127.426140724
2175,삼익둥지아파트,중소폐가전,수거함 설치,대전광역시 대덕구 신상로21 ,공동주택(아파트 등),무상,36.355508689,127.456234803
2256,송강마을 1단지,중소폐가전,수거함 설치,대전광역시 유성구 봉산로 45(송강동) ,공동주택(아파트 등),무상,36.43773415,127.384320559
2257,송림마을 5단지,중소폐가전,수거함 설치,대전광역시 유성구 노은로 416(하기동) ,공동주택(아파트 등),무상,36.390716623,127.32968803
2341,열매마을 10단지,중소폐가전,수거함 설치,대전광역시 유성구 노은동로 111(노은동) ,공동주택(아파트 등),무상,36.370117863,127.320640192
2381,용전한숲아파트,중소폐가전,수거함 설치,대전광역시 동구 계족로 489번길 73 ,공동주택(아파트 등),무상,36.355225961,127.428243321
2397,운암네오미아아파트,중소폐가전,수거함 설치,대전광역시 유성구 덕명로 26 (덕명동) ,공동주택(아파트 등),무상,36.358348409,127.301072569
2476,죽동 금성백조예미지아파트,중소폐가전,수거함 설치,대전광역시 유성구 죽동로 321(죽동) ,공동주택(아파트 등),무상,36.367725135,127.33772023
2487,중촌현대아파트,중소폐가전,수거함 설치,대전광역시 중구 목중로 26번길 29 ,공동주택(아파트 등),무상,36.336976312,127.411797301
2531,큰솔5차아파트,중소폐가전,수거함 설치,대전광역시 동구 동서대로1572번길165 ,공동주택(아파트 등),무상,36.341604901,127.433866303
2580,학하리슈빌 학의뜰,중소폐가전,수거함 설치,대전광역시 유성구 학하로 33(계산동) ,공동주택(아파트 등),무상,36.337603609,127.300988882
2591,한솔아파트,중소폐가전,수거함 설치,대전광역시 유성구 송강로 15(송강동) ,공동주택(아파트 등),무상,36.43189619,127.385354713
9979,롯데하이마트 테크노밸리점,중소폐가전,수거함 설치,"대전 유성구 테크노중앙로 31, (관평동) ",롯데하이마트,무상,36.427447203,127.389391933
9982,롯데하이마트 판암점,중소폐가전,수거함 설치,"대전 동구 옥천로 87, (판암동,하이마트) ",롯데하이마트,무상,36.319212387,127.450721384
9994,롯데하이마트 유성점,중소폐가전,수거함 설치,"대전 유성구 유성대로 808, (장대동,하이마트) ",롯데하이마트,무상,36.363763714,127.338153734
9995,롯데하이마트 유천점,중소폐가전,수거함 설치,"대전 중구 계백로 1538, (유천동) ",롯데하이마트,무상,36.316378949,127.391138961
10018,롯데하이마트 정림점,중소폐가전,수거함 설치,"대전 서구 계백로 1338, (정림동,하이마트정림동점) ",롯데하이마트,무상,36.309223987,127.370909862
10074,롯데하이마트 용전점,중소폐가전,수거함 설치,"대전 동구 한밭대로 1262, (용전동) ",롯데하이마트,무상,36.355192056,127.436535453
10155,롯데하이마트 서대전롯데마트점,중소폐가전,수거함 설치,"대전 유성구 유성대로 26-37, (원내동,롯데마트서대전점) ",롯데하이마트,무상,36.300510438,127.324775671
10171,롯데하이마트 둔산점,중소폐가전,수거함 설치,"대전 서구 대덕대로 255, (둔산동,하이마트둔산점) ",롯데하이마트,무상,36.355543749,127.379022385
10229,롯데하이마트 노은롯데마트점,중소폐가전,수거함 설치,"대전 유성구 북유성대로 206, (하기동) ",롯데하이마트,무상,36.384346266,127.32155176
10238,롯데하이마트 대덕롯데마트점,중소폐가전,수거함 설치,"대전 유성구 테크노중앙로 14, (관평동,롯데마트대덕테크노밸리점) ",롯데하이마트,무상,36.426985969,127.386901535
10257,롯데하이마트 NC대전유성점,중소폐가전,수거함 설치,대전 유성구 계룡로 119 NC대전유성점 8층 ,롯데하이마트,무상,36.353739082,127.344039608
10279,롯데하이마트 관저점,중소폐가전,수거함 설치,"대전 유성구 계백로 947, (원내동) ",롯데하이마트,무상,36.301716356,127.328888383
11714,(송강)청솔아파트 ,중소폐가전,수거함 설치,대전 유성구 송강로42번길 61 (송강동) ,공동주택(아파트 등),무상,36.435013877,127.38162722
11715,관평동 행정복지센터,중소폐가전,수거함 설치,대전 유성구 관평2로 42 (관평동) ,"지자체(구청, 행정복지센터 등)",무상,36.423192647,127.388779009
11716,구즉동 행정복지센터,중소폐가전,수거함 설치,대전 유성구 금남구즉로 1442 (봉산동) ,"지자체(구청, 행정복지센터 등)",무상,36.440773259,127.385783285
11718,노은1동 행정복지센터,중소폐가전,수거함 설치,대전 유성구 노은동로87번길 89 (노은동) ,"지자체(구청, 행정복지센터 등)",무상,36.368213644,127.318444656
11719,노은2동 행정복지센터,중소폐가전,수거함 설치,대전 유성구 송림로19번길 35 (하기동) ,"지자체(구청, 행정복지센터 등)",무상,36.389484567,127.320773411
11721,노은4단지 한화 꿈에그린 1블록 ,중소폐가전,수거함 설치,대전 유성구 지족북로 33 (지족동) ,공동주택(아파트 등),무상,36.388803495,127.302130308
